time                   Mass                   Q                   dMdt                dQdt                    fM                      hM                      delta_t               
1.263155348626123      9.999999999785042e+16  0.2                 -1701805.5189003034 0.0                     3.020778450061028e+111  0.0                     0.6349409156065544    
2.6242075903314888     9.999999999553416e+16  0.2                 -1701805.5189791408 0.0                     3.02077845006103e+111   0.0                     1.3610522417053657    
5.27651336773607       9.999999999102045e+16  0.2                 -1701805.5191327697 0.0                     3.02077845006103e+111   0.0                     2.652305777404581     
10.961966352878884     9.999999998134491e+16  0.2                 -1701805.5194620872 0.0                     3.0207784500610296e+111 0.0                     5.685452985142814     
22.041305806272735     9.999999996249003e+16  0.2                 -1701805.5201038346 0.0                     3.02077845006103e+111   0.0                     11.079339453393851    
45.79085388075933      9.999999992207291e+16  0.2                 -1701805.5214794755 0.0                     3.020778450061029e+111  0.0                     23.749548074486594    
92.07200433078346      9.999999984331138e+16  0.2                 -1701805.5241602114 0.0                     3.020778450061029e+111  0.0                     46.28115045002413     
191.2797605493817      9.999999967447907e+16  0.2                 -1701805.5299066089 0.0                     3.020778450061033e+111  0.0                     99.20775621859826     
384.60761154519554     9.999999934547267e+16  0.2                 -1701805.5411047055 0.0                     3.0207784500610296e+111 0.0                     193.32785099581383    
799.0230296011698      9.99999986402182e+16   0.2                 -1701805.565108825  0.0                     3.0207784500610307e+111 0.0                     414.41541805597427    
1606.6014412704963     9.999999726587678e+16  0.2                 -1701805.611886065  0.0                     3.020778450061031e+111  0.0                     807.5784116693263     
3337.717487722439      9.99999943198538e+16   0.2                 -1701805.7121572408 0.0                     3.02077845006103e+111   0.0                     1731.1160464519423    
6711.172929527735      9.999998857888805e+16  0.2                 -1701805.907557435  0.0                     3.020778450061031e+111  0.0                     3373.4554418052962    
13942.47426561518      9.999997627261672e+16  0.2                 -1701806.3264152645 0.0                     3.0207784500610296e+111 0.0                     7231.301336087444     
28034.23483450164      9.999995229116942e+16  0.2                 -1701807.1426513263 0.0                     3.02077845006103e+111   0.0                     14091.76056888646     
58241.17510316591      9.999990088478272e+16  0.2                 -1701808.892328632  0.0                     3.0207784500610307e+111 0.0                     30206.940268664268    
117105.95614339059     9.999980070817491e+16  0.2                 -1701812.3019659733 0.0                     3.0207784500610285e+111 0.0                     58864.78104022469     
243287.84208431648     9.999958597028912e+16  0.2                 -1701819.6108755984 0.0                     3.020778450061032e+111  0.0                     126181.88594092589    
489180.64092764846     9.999916750510187e+16  0.2                 -1701833.8540692157 0.0                     3.020778450061031e+111  0.0                     245892.79884333198    
1016273.6929877962     9.999827048030163e+16  0.2                 -1701864.3864776804 0.0                     3.0207784500610307e+111 0.0                     527093.0520601476     
2043428.9368285965     9.999652240137275e+16  0.2                 -1701923.8889324847 0.0                     3.020778450061033e+111  0.0                     1027155.2438408005    
4245227.423658559      9.999277510792939e+16  0.2                 -1702051.452703479  0.0                     3.0207784500610296e+111 0.0                     2201798.4868299626    
8535909.785698235      9.9985472145782e+16    0.2                 -1702300.0982518964 0.0                     3.020778450061031e+111  0.0                     4290682.362039675     
17733368.484230854     9.996981531093582e+16  0.2                 -1702833.3535854842 0.0                     3.0207784500610296e+111 0.0                     9197458.69853262      
35656613.52660513      9.993929501147318e+16  0.2                 -1703873.5634358283 0.0                     3.020778450061029e+111  0.0                     17923245.042374272    
74076681.03832662      9.987383207413453e+16  0.2                 -1706107.9249494676 0.0                     3.0207784500610307e+111 0.0                     38420067.51172149     
148946523.5815728      9.974609604243179e+16  0.2                 -1710480.4469316492 0.0                     3.0207784500610296e+111 0.0                     74869842.54324618     
309436680.2637374      9.947158076750195e+16  0.2                 -1719934.4221802924 0.0                     3.0207784500610296e+111 0.0                     160490156.68216458    
622186592.971951       9.893367142710122e+16  0.2                 -1738688.0756357298 0.0                     3.02077845006103e+111   0.0                     312749912.70821357    
1231647695.8899546     9.787400867489387e+16  0.2                 -1776540.7556935858 0.0                     3.0207784500610296e+111 0.0                     609461102.9180034     
